Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
855,alvin and the chipmunks the road chip,2015,pg,music,walt becker,3.95,72.17
856,bean,1997,pg-13,comedy,mel smith,5.625,72.16
857,the hangover part iii,2013,r,comedy,todd phillips,4.275,72.16
858,scary stories to tell in the dark,2019,pg-13,horror,andré øvredal,6.65,72.15
859,dora and the lost city of gold,2019,pg,fantasy,james bobin,6.875,72.15
860,ice age continental drift,2012,pg,comedy,"steve martino, michael thurmeier",5.375,72.15
861,spy kids 2 the island of lost dreams,2002,pg,science fiction,robert rodriguez,6.25,72.14
862,pompeii,2014,pg-13,romance,paul w.s. anderson,4.45,72.14
863,where the crawdads sing,2022,pg-13,romance,olivia newman,5.65,72.14
864,no strings attached,2011,r,romance,ivan reitman,5.55,72.14
865,the counselor,2013,r,crime,ridley scott,4.7,72.14
866,west side story,2021,pg-13,romance,steven spielberg,7.925,72.13000000000001
867,exodus gods and kings,2014,pg-13,action,ridley scott,5.025,72.13000000000001
868,fantastic four rise of the silver surfer,2007,pg,science fiction,tim story,4.85,72.13000000000001
869,the american president,1995,pg-13,romance,rob reiner,7.275,72.13000000000001
870,think like a man too,2014,pg-13,romance,tim story,4.55,72.11999999999999
871,ne zha,2019,nr,fantasy,yu yang,7.375,72.11
872,paranormal activity the ghost dimension,2015,r,horror,gregory plotkin,3.6,72.11
873,zookeeper,2011,pg,romance,frank coraci,3.75,72.1
874,rrr,2022,nr,drama,s.s. rajamouli,8.35,72.09
875,the blind side,2009,pg-13,drama,john lee hancock,6.8,72.08
876,evita,1996,pg,drama,alan parker,5.825,72.08
877,cocaine bear,2023,r,crime,elizabeth banks,5.975,72.08
878,crimson tide,1995,r,thriller,tony scott,7.5,72.08
879,nanny mcphee and the big bang,2010,pg,fantasy,susanna white,6.275,72.07000000000001
880,kiss the girls,1997,r,mystery,gary fleder,5.275,72.06
881,halloween kills,2021,r,thriller,david gordon green,5.0,72.06
882,skiptrace,2016,pg-13,mystery,renny harlin,5.025,72.05
883,the ninth gate,1999,r,horror,roman polanski,5.475,72.05
884,pain  gain,2013,r,crime,michael bay,5.525,72.05
885,shrek the third,2007,pg,comedy,"chris miller, raman hui",5.574999999999999,72.04
886,water for elephants,2011,pg-13,romance,francis lawrence,6.25,72.03
887,kindergarten cop,1990,pg-13,comedy,ivan reitman,5.95,72.03
888,my big fat greek wedding 2,2016,pg-13,romance,kirk jones,4.625,72.03
889,the foreigner,2017,r,thriller,martin campbell,6.525,72.02
890,insidious the red door,2023,pg-13,thriller,patrick wilson,5.15,72.00999999999999
891,timecop,1994,r,crime,peter hyams,5.225,72.0
892,taken,2008,pg-13,action,pierre morel,6.55,72.0
893,the maze runner,2014,pg-13,mystery,wes ball,6.575,72.0
