Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1157,inside out,2015,pg,comedy,"pete docter, ronnie del carmen",8.8,71.11
1158,tomorrowland,2015,pg,mystery,brad bird,5.9,71.1
1159,what lies beneath,2000,pg-13,drama,robert zemeckis,5.7,71.1
1160,are we there yet,2005,pg,romance,brian levant,3.55,71.09
1161,paranormal activity 3,2011,r,mystery,"henry joost, ariel schulman",6.075,71.09
1162,phenomenon,1996,pg,drama,jon turteltaub,5.45,71.08
1163,12 strong,2018,r,war,nicolai fuglsig,5.8,71.08
1164,unfriended,2014,r,mystery,levan gabriadze,5.8,71.07
1165,the karate kid,2010,pg,action,harald zwart,6.375,71.07
1166,k 19 the widowmaker,2002,pg-13,mystery,kathryn bigelow,6.25,71.06
1167,arthur,1981,pg,romance,steve gordon,7.225,71.05
1168,1911,2011,r,war,"tao hai, wei li, guoqiang tang",3.975,71.05
1169,john q,2002,pg-13,crime,nick cassavetes,4.949999999999999,71.05
1170,the forest,2016,r,horror,jason zada,3.6,71.05
1171,valiant,2005,g,war,gary chapman,4.675,71.04
1172,the wall,2017,r,war,doug liman,6.2,71.04
1173,where the crawdads sing,2022,pg-13,romance,olivia newman,5.65,71.03
1174,ice age,2002,pg,comedy,"chris wedge, carlos saldanha",7.175,71.03
1175,the bourne legacy,2012,pg-13,action,tony gilroy,6.125,71.02000000000001
1176,contact,1997,pg,drama,robert zemeckis,6.975,71.00999999999999
1177,terminator 2 judgment day,1991,r,science fiction,james cameron,8.325,70.99
1178,zombieland,2009,r,horror,ruben fleischer,7.75,70.98
1179,top gun maverick,2022,pg-13,drama,joseph kosinski,8.45,70.98
1180,sucker punch,2011,pg-13,fantasy,zack snyder,4.45,70.97
1181,beetlejuice,1988,pg,fantasy,tim burton,7.550000000000001,70.94
